country,equipment_type,destroyed,abandoned,captured,damaged,type_total
Russia,All Types,959,232,698,35,1924
Russia,Tanks,128,42,126,4,300
Russia,Armoured Fighting Vehicles,102,34,82,0,218
Russia,Infantry Fighting Vehicles,157,29,103,2,291
Russia,Armoured Personnel Carriers,19,17,40,0,76
Russia,Mine-Resistant Ambush Protected,4,3,0,0,7
Russia,Infantry Mobility Vehicles,36,5,20,2,63
Russia,Communications Stations,3,4,0,0,7
Russia,Engineering Vehicles And Equipment,18,11,31,0,60
Russia,Anti-Tank Guided Missiles,0,24,38,0,62
Russia,"Man-Portable Air Defence Systems
",0,0,24,0,24
Russia,Heavy Mortars,0,0,0,0,0
Russia,Towed Artillery,8,5,26,2,41
Russia,Self-Propelled Artillery,16,15,23,2,56
Russia,Multiple Rocket Launchers,15,5,14,0,34
Russia,Anti-Aircraft Guns,0,0,0,0,0
Russia,Self-Propelled Anti-Aircraft Guns,5,3,0,0,8
Russia,Surface-To-Air Missile Systems,20,7,12,1,40
Russia,Radars,1,0,0,0,1
Russia,Jammers And Deception Systems,2,0,0,2,4
Russia,Aircraft,15,0,0,0,15
Russia,Helicopters,30,0,0,3,33
Russia,Unmanned Aerial Vehicles,11,0,0,0,11
Russia,Naval Ships,1,0,0,0,1
Russia,Logistics Trains,0,0,0,0,0
Russia,"Trucks, Vehicles and Jeeps",361,59,174,16,610
Ukraine,All Types,209,37,296,16,558
Ukraine,Tanks,26,9,42,0,77
Ukraine,Armoured Fighting Vehicles,21,4,35,0,60
Ukraine,Infantry Fighting Vehicles,26,9,23,2,60
Ukraine,Armoured Personnel Carriers,5,2,21,0,28
Ukraine,Infantry Mobility Vehicles,7,1,23,1,32
Ukraine,Engineering Vehicles,1,0,0,0,1
Ukraine,Anti-tank Guided Missiles,0,0,50,0,50
Ukraine,"Man-Portable Air Defence Systems
",0,0,16,0,16
Ukraine,Towed Artillery,4,3,11,3,21
Ukraine,Self-Propelled Artillery,7,1,0,1,9
Ukraine,Multiple Rocket Launchers,1,0,0,0,1
Ukraine,Anti-Aircraft Guns,0,0,0,0,0
Ukraine,"Self-Propelled Anti-Aircraft Guns
",0,0,0,0,0
Ukraine,"Surface-To-Air Missile Systems
",15,2,0,0,17
Ukraine,Radars,6,0,0,3,9
Ukraine,Aircraft,11,0,0,0,11
Ukraine,Helicopters,0,0,0,0,0
Ukraine,Unmanned Aerial Vehicles,7,0,0,0,7
Ukraine,Naval Ships,2,0,11,0,13
Ukraine,"Trucks, Vehicles and Jeeps",61,5,109,5,180
